Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-05-08,7849.19,7929.99,7612.0,7733.5,1159.20048365,8991273.3085234,7756.4437173217
2018-05-07,8037.69,8044.9,7679.73,7859.89,1699.23548145,13267026.489584,7807.6444580023
2018-05-06,8197.89,8270.0,7850.0,8037.8,1110.37467537,8891970.7347584,8008.0813548773
2018-05-05,8084.65,8301.0,8064.0,8197.82,1408.14230749,11555639.237724,8206.3007241945
2018-05-04,8105.38,8159.9,7878.64,8090.88,1503.93980176,12118866.020304,8058.0791904845
2018-05-03,7709.16,8150.77,7631.02,8103.2,2288.19777955,18019794.093307,7875.1033911285
2018-05-02,7554.3,7733.84,7480.48,7713.17,957.95212384,7289445.9248279,7609.4052546256
2018-05-01,7659.29,7659.29,7313.44,7551.46,1686.89395617,12577218.205255,7455.8440139359
2018-04-30,7746.64,7788.7,7526.0,7642.61,1213.45735876,9291504.0770219,7657.0503363354
2018-04-29,7700.88,7847.8,7578.9,7741.89,1018.80806202,7858484.3314374,7713.4100370744
2018-04-28,7366.29,7769.0,7301.3,7698.93,1323.3252934,10108652.097445,7638.8263323169
2018-04-27,7655.2,7755.88,7338.0,7357.89,1608.51865711,12227141.570609,7601.4919171515
2018-04-26,7277.98,7685.35,7082.16,7642.13,2558.47471103,18699472.351876,7308.836108975
2018-04-25,7901.29,7976.65,7181.9,7277.98,6210.56616049,46600269.658404,7503.3851108233
2018-04-24,7321.39,7969.0,7306.43,7896.6,3108.38756934,23721897.680272,7631.5765492876
2018-04-23,7174.1,7348.0,7143.73,7321.45,1385.209568,10064846.574895,7265.9378099931
2018-04-22,7250.0,7348.9,7119.8,7166.82,1673.12898271,12128925.250259,7249.2469950602
2018-04-21,7219.83,7387.95,7003.93,7250.0,2741.74106215,19651551.05121,7167.544492987
2018-04-20,6718.12,7260.0,6665.0,7199.21,2953.97485738,20521668.737116,6947.1372397926
2018-04-19,6606.46,6730.0,6528.62,6706.0,1438.05601307,9566579.9878511,6652.4390572438
2018-04-18,6383.7,6655.0,6363.6,6603.96,1531.90696621,9995985.6206833,6525.1910469562
2018-04-17,6517.58,6604.9,6312.88,6384.5,2166.6679385,14064238.961987,6491.1834029001
2018-04-16,6786.34,6824.97,6375.0,6505.8,1842.93695986,12070021.815843,6549.3405790505
2018-04-15,6499.9,6819.99,6495.28,6767.3,1387.52579499,9291164.9598238,6696.2106170363
2018-04-14,6389.99,6635.54,6329.76,6491.57,991.13906066,6441221.7582315,6498.8072954589
2018-04-13,6420.0,6694.91,6283.37,6385.5,2983.45297878,19424325.160904,6510.6858727324
2018-04-12,5617.62,6540.66,5466.47,6419.9,4468.89370457,27449486.094589,6142.3448193718
2018-04-11,5533.45,5640.0,5510.78,5617.62,1218.69275223,6784703.5321523,5567.197736868
2018-04-10,5505.99,5581.48,5407.06,5528.82,1027.06722635,5648622.1300841,5499.7589107757
2018-04-09,5728.5,5842.0,5373.56,5497.77,2248.97431065,12510758.240725,5562.872897872
2018-04-08,5616.7,5788.04,5600.02,5733.0,640.15121397,3647615.7088894,5698.0532556802
2018-04-07,5401.01,5738.89,5381.9,5615.11,1144.37642513,6423947.8082664,5613.4919133245
2018-04-06,5535.82,5600.0,5316.2,5401.0,1279.11666091,6913115.7185978,5404.6014174185
2018-04-05,5536.67,5667.78,5359.19,5527.69,2573.13794438,14204845.598829,5520.4368774142
2018-04-04,6051.11,6060.53,5460.0,5520.9,2894.81290393,16570491.656804,5724.201254702
2018-04-03,5738.75,6148.9,5699.55,6049.5,3001.4521246,17981047.749994,5990.7827956411
2018-04-02,5541.76,5765.82,5479.0,5739.99,1544.83839262,8755493.3899251,5667.5788430374
2018-04-01,5395.0,5654.64,5212.56,5517.18,1694.16654482,9202532.8105687,5431.8938351757
2018-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-28,6285.41,6549.0,6240.07,6475.82,577.39927112,3701580.9885462,6410.782232832
2018-03-27,6551.0,6601.61,6235.0,6285.91,2245.917385,14407328.916333,6414.8970984223
2018-03-26,6870.77,6897.67,6312.87,6543.1,2983.34026679,19548257.640642,6552.4733662631
2018-03-25,6932.83,7045.7,6797.0,6856.79,1175.03454946,8133111.6537738,6921.5936310225
2018-03-24,7208.0,7300.0,6891.91,6910.0,1453.16341356,10376914.895548,7140.9139527716
2018-03-23,7076.28,7208.0,6701.12,7208.0,2155.12279308,14909277.313707,6918.0639551399
2018-03-22,7223.78,7366.0,6903.34,7061.51,2271.09356422,16064952.947374,7073.6640711197
2018-03-21,7274.13,7458.0,7149.9,7221.59,2287.70610386,16741997.641047,7318.2466982093
2018-03-20,6988.21,7398.0,6754.99,7271.8,2916.88967248,20644055.25859,7077.4206694757
2018-03-19,6675.34,7098.69,6606.35,6988.21,4257.67617489,29069214.873149,6827.4837444396
2018-03-18,6414.98,6779.9,5935.81,6664.8,4675.67191253,29265723.535677,6259.1482215102
2018-03-17,6717.2,6810.92,6300.0,6415.0,2731.83591255,17908308.391528,6555.4114393392
